date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-07-04,BUY,sh601138,工业富联,VpBreakout,23.3123,23.31,4000,93249.32,23.31,0.0,9.32,32.64,6727.36,0.0,0.0,量价突破：突破 20 日新高 ¥21.760，量比 3.90 ≥ 1.5，强势收盘 100.0%
2025-07-25,SELL,sh601138,工业富联,VpBreakout,28.4472,28.45,4000,113788.62,28.45,56.89,11.38,96.72,120430.64,20430.64,21.9,达到 +18% 止盈（当前 +22.0%）
2025-07-25,BUY,sh601138,工业富联,VpBreakout,28.4528,28.45,4000,113811.38,28.45,0.0,11.38,39.83,6590.81,0.0,0.0,量价突破：突破 20 日新高 ¥28.260，量比 1.78 ≥ 1.5，强势收盘 98.3%
2025-08-01,SELL,sh601138,工业富联,VpBreakout,33.9966,34.0,4000,135986.4,34.0,67.99,13.6,115.59,142475.22,22044.58,19.36,达到 +18% 止盈（当前 +21.6%）
2026-04-09,BUY,sh601138,工业富联,VpBreakout,55.0055,55.0,2400,132013.2,33.0,0.0,13.2,46.2,10429.02,0.0,0.0,量价突破：突破 20 日新高 ¥54.990，量比 1.51 ≥ 1.5，强势收盘 100.0%
2026-04-23,SELL,sh601138,工业富联,VpBreakout,66.9733,66.98,2400,160735.92,40.18,80.37,16.08,136.63,171044.39,28569.17,21.64,达到 +18% 止盈（当前 +21.6%）
2026-04-23,BUY,sh601138,工业富联,VpBreakout,66.9867,66.98,2400,160768.08,40.19,0.0,16.08,56.27,10236.12,0.0,0.0,量价突破：突破 20 日新高 ¥63.330，量比 1.72 ≥ 1.5，强势收盘 99.0%
2026-05-06,SELL,sh601138,工业富联,VpBreakout,63.2737,63.28,2400,151856.81,37.96,75.93,15.19,129.08,161979.04,-9065.35,-5.64,跌破 10 日均线（¥64.830），趋势走坏
2026-05-14,BUY,sh601138,工业富联,VpBreakout,74.0074,74.0,2000,148014.8,37.0,0.0,14.8,51.8,13927.24,0.0,0.0,量价突破：突破 20 日新高 ¥69.100，量比 1.81 ≥ 1.5，强势收盘 100.0%
2026-05-15,SELL,sh601138,工业富联,VpBreakout,69.493,69.5,2000,138986.1,34.75,69.49,13.9,118.14,152809.1,-9169.94,-6.19,触发 -7% 止损（当前 -7.3%）
2026-05-29,BUY,sh601138,工业富联,VpBreakout,78.7579,78.75,1800,141764.17,35.44,0.0,14.18,49.62,11009.48,0.0,0.0,量价突破：突破 20 日新高 ¥74.000，量比 1.53 ≥ 1.5，强势收盘 98.3%
2026-06-09,SELL,sh601138,工业富联,VpBreakout,71.9828,71.99,1800,129569.04,32.39,64.78,12.96,110.13,140481.35,-12327.75,-8.69,触发 -7% 止损（当前 -10.5%）
